Vegetative
Gewürzgurke;http://de.wikipedia.org/wiki/Amerikanische_Heidelbeere;APRIL;null;MAY;JUNE;JULY;SEPTEMBER;10;90;15.0;
Heidelbeere;http://de.wikipedia.org/wiki/Wald-Erdbeere;JANUARY;APRIL;null;null;JULY;SEPTEMBER;45;730;75.0;
Wald-Erdbeere;http://de.wikipedia.org/wiki/Rubus;null;null;null;null;MAY;JULY;0;0;0.0;
Rubus;http://de.wikipedia.org/wiki/Zucchini;null;null;null;null;JULY;OCTOBER;0;0;0.0;
Zucchini;http://de.wikipedia.org/wiki/Himbeere;APRIL;JUNE;MAY;JULY;SEPTEMBER;NOVEMBER;10;95;100.0;
Himbeere;https://de.wikipedia.org/wiki/Gurke;null;null;null;null;JULY;OCTOBER;0;0;0.0;
Gurke;http://de.wikipedia.org/wiki/Mais;APRIL;null;MAY;JUNE;JULY;SEPTEMBER;10;100;15.0;
Mais;http://de.wikipedia.org/wiki/Zuckermelone;APRIL;MAY;MAY;JUNE;JUNE;SEPTEMBER;15;130;40.0;
Zuckermelone;https://de.wikipedia.org/wiki/Kürbisse;APRIL;JUNE;JUNE;JUNE;AUGUST;OCTOBER;10;150;30.0;
Kürbisse;http://de.wikipedia.org/wiki/Pfeffer;APRIL;null;MAY;MAY;AUGUST;SEPTEMBER;20;140;100.0;
Pfeffer;http://de.wikipedia.org/wiki/Zuckermais;MARCH;APRIL;JUNE;JUNE;AUGUST;OCTOBER;15;180;45.0;
Zuckermais;http://de.wikipedia.org/wiki/Tomate;APRIL;MAY;JUNE;JUNE;AUGUST;OCTOBER;15;130;40.0;
Tomate;https://de.wikipedia.org/wiki/Vegetative_Vermehrung;FEBRUARY;MARCH;MAY;MAY;JULY;OCTOBER;10;130;45.0;
Vegetative
            Vermehrung;null;null;null;null;null;null;null;0;0;0.0;
